Group ID,Group Name,Element ID,Element Name,Element Description
dpia:group7,Consultation,dpia:element7_5,dataSubjectConsultationDetails,Describe how you consulted with your data subjects – or justify why it was not appropriate to do so
dpia:group8,Consultation,dpia:element8_1,newITSolution,"Is this introducing a new IT solution, or a change to an existing IT process?"
dpia:group8,Consultation,dpia:element8_2,newTechnologyIntroduced,What new technology is being introduced?
dpia:group8,Consultation,dpia:element8_3,technologySupplier,Who is the supplier of the technology?
dpia:group8,Consultation,dpia:element8_4,largeScaleMonitoring,Will you be monitoring a publicly accessible place on a large scale?
dpia:group9,Technologies and Systems,dpia:element9_1,dataStorageLocation,Where will the collected data be stored?
dpia:group9,Technologies and Systems,dpia:element9_2,physicalDataSecurity,What physical security is in place to prevent access to the data?
dpia:group9,Technologies and Systems,dpia:element9_3,accessControls,"What are the access controls for staff, third parties, and data processors?"
dpia:group9,Technologies and Systems,dpia:element9_4,dataRetentionDuration,How long will the data be retained for?
dpia:group9,Technologies and Systems,dpia:element9_5,dataDeletionProcess,What processes are in place to ensure information can be securely deleted/destroyed in relation to both paper and electronic files?
dpia:group9,Technologies and Systems,dpia:element9_6,processingConcerns,Do you have any prior concerns over this type of processing or security flaws?
dpia:group9,Technologies and Systems,dpia:element9_7,concernDetails,"What are your concerns, and how will it affect the project?"
dpia:group9,Technologies and Systems,dpia:element9_8,cloudServiceProvider,Are you using a third-party Cloud Service Provider?
dpia:group9,Technologies and Systems,dpia:element9_9,dataProtectionRisksIdentification,Identifying Data Protection Risks
dpia:group10,Data Security and Retention,dpia:element10_1,potentialImpact,What is the potential impact? (from 10.1 Identifying Data Protection Risks)
dpia:group10,Data Security and Retention,dpia:element10_2,likelihoodOfHarmBeforeReduction,What is the likelihood of harm before identifying ways to reduce the risk? (from 10.1 Identifying Data Protection Risks)
dpia:group10,Data Security and Retention,dpia:element10_3,severityOfHarmBeforeReduction,What is the severity of harm likely to be before identifying ways to reduce the risk? (from 10.1 Identifying Data Protection Risks)
dpia:group10,Data Security and Retention,dpia:element10_4,riskReductionAction,What action/existing risk reduction needs to be taken to reduce or eliminate the risk? (from 10.1 Identifying Data Protection Risks)
dpia:group10,Data Security and Retention,dpia:element10_5,actionOwner,Who owns the action? (from 10.1 Identifying Data Protection Risks)
dpia:group10,Data Security and Retention,dpia:element10_6,actionCompletionDate,What date will this be done (from 10.1 Identifying Data Protection Risks)
dpia:group10,Data Security and Retention,dpia:element10_7,likelihoodOfHarmAfterReduction,What is the likelihood of harm after reducing the risk? (from 10.1 Identifying Data Protection Risks)
dpia:group10,Data Security and Retention,dpia:element10_8,,
